馬名	系統	価格(万)	SP	ST	持込	評価	タイプ	B	I	C	S	P	総合	DI	CD	父系分類(上からカナ順)
アージェントステップ	レイズアネイティヴ系	7000	7	6	あり	なかなか	スピード	63	44	167	30	11	315	1.53	0.37	オーランド.シックル.セントサイモン.ファロス.
アーユーレディ	ノーザンダンサー系	5500	6	6	なし	まあまあ	スピード	84	25	117	40	10	276	1.54	0.48	ファラモンド.ファロス.フェアウェイ.
アイスペール	マイバブー系	700	3	3	なし	手ごろ	スピード	42	34	51	19	91	237	0.75	-0.35	スインフォード.ファロス.ヘロド.
アイノコリドー	ワイルドリスク系	1800	4	6	なし	まあまあ	スタミナ	31	38	31	51	57	208	0.68	0.31	エクリプス.セントサイモン.ハンプトン.ヘロド.
アイマイミーマイン	ノーザンダンサー系	700	3	4	なし	手ごろ	スタミナ	110	24	102	16	15	267	2.26	0.74	スインフォード.ハンプトン.ファロス.
アイリッシュブルー	ボールドルーラー系	64000	8	10	あり	良血	申し分なし	54	37	47	34	18	190	1.52	0.39	エクリプス.セントサイモン.ファロス.
アイルドゥイット	インテント系	5200	6	5	あり	まあまあ	スピード	60	32	77	38	12	219	1.47	0.41	オーランド.スインフォード.マッチェム.
アキタコマチ	ノーザンダンサー系	9600	8	8	なし	なかなか	申し分なし	74	26	71	10	21	202	2.04	0.6	ファロス.ヘロド.
アクロッシュクール	ノーザンダンサー系	13000	8	7	なし	なかなか	申し分なし	54	39	108	22	18	241	1.56	0.37	エクリプス.テディ.ファロス.
アスキーパートツー	ロイヤルチャージャー系	1000	3	4	なし	手ごろ	スタミナ	39	33	55	14	17	158	1.7	0.4	スインフォード.ハンプトン.ファロス.
アスコットブルー	ファリス系	3200	5	6	なし	まあまあ	スタミナ	52	8	48	9	29	146	1.35	0.31	セントサイモン.ファロス.フェアウェイ.
アフタヌーンブリーズ	ハイペリオン系	1200	4	5	あり	手ごろ	スタミナ	42	30	96	16	20	204	1.43	0.28	スインフォード.ハンプトン.ファロス.
アペリティフ	ダンテ系	3000	6	5	あり	まあまあ	スピード	25	12	87	28	22	174	0.86	0.6	シックル.セントサイモン.ハンプトン.ファロス.
アメリカンナデシコ	インテント系	2400	6	5	なし	まあまあ	スピード	71	41	107	26	5	250	1.96	0.59	シックル.ファラモンド.ファロス.マッチェム.
アロマテラピー	マイバブー系	8800	8	6	なし	なかなか	スピード	58	66	111	21	14	270	1.98	0.49	スインフォード.ファロス.ヘロド.
アンチョビー	プリンスリーギフト系	500	3	3	なし	手ごろ	スタミナ	72	17	69	24	32	214	1.36	0.34	エクリプス.スインフォード.ハンプトン.ファロス.
