馬名    系統    価格(万)    下限    上限    ダート  成長    気性    底力    健康    実績    安定    B   I   C   S   P   総合    DI  CD  面白系統
アーティアス    プリンスキロ系  200 1600    2200    ○  普通    C   B   A   C   B   70  41  55  103 25  294 0.89    0.1 エクリプス.セントサイモン.ハンプトン.ヘロド.
アイシーグルーム    レッドゴッド系  160 1400    1800    ○  普通    B   B   B   C   C   54  28  63  27  42  214 1.13    0.12    セントサイモン.ファロス.
アイネスフウジン    サンインロー系  150 1600    2200    ○  普通    B   B   B   C   C   59  13  77  29  36  214 1.07    0.14    スインフォード.ハンプトン.ファロス.
アウザール  フェアウェイ系  200 2000    2600    △  普通    C   A   B   B   C   47  28  97  29  7   208 1.46    0.38    スインフォード.セントサイモン.ファロス.フェアウェイ.
アサカシルバー  レリック系  50  1400    2000    ○  普通    C   B   B   C   C   29  40  59  57  25  210 0.88    0.4 セントサイモン.ハンプトン.フェアウェイ.マッチェム.
アサティス  ノーザンダンサー系  350 1600    2400    ○  普通    C   B   B   B   A   70  58  134 52  17  331 1.43    0.34    セントサイモン.ファラモンド.ファロス.
アサヒエンペラー    サンインロー系  50  2000    2600    ○  普通    B   B   C   B   C   41  38  56  33  56  224 0.91    0.11    テディ.ハンプトン.ファロス.
アジュディケーティング  ノーザンダンサー系  200 1400    1800    ○  早熟    B   B   B   B   B   88  90  132 26  11  347 2.37    0.63    テディ.ハンプトン.ファロス.
アズマイースト  ネヴァーベンド系    70  1600    2000    ○  普通    A   C   B   C   B   37  35  82  33  13  200 1.3 0.25    セントサイモン.ファロス.
アスワン    ノーザンダンサー系  350 2000    2400    ○  普通    B   B   B   A   C   88  69  77  37  11  282 2.26    0.66    テディ.ファロス.
アフリート  レイズアネイティヴ系    350 1400    2000    ○  普通    B   B   B   A   B   95  44  103 26  7   275 2.25    0.71    シックル.ハンプトン.ファラモンド.ファロス.
アレミロード    リボー系    200 1400    2000    ○  早熟    B   A   B   B   C   28  41  98  31  49  247 0.91    0.13    セントサイモン.テディ.ファロス.
アンドレアモン  ボワルセル系    60  1800    2400    ◎  普通    A   C   A   C   C   11  45  51  64  32  203 0.67    0.3 エクリプス.セントサイモン.テディ.ヘロド.
